,Invoice,customer#,invoicedate,qty,UOM,netprice,Total,COGS,Profit,Margin
0,00087B, CASH, 02/25/2023,6.00,PIECE,"1,080.00",34.56,20.0,14.56,42.1
1,00437B, CASH, 02/27/2023, 15.00,PIECE,"1,080.00",86.4,50.0,36.4,42.1
2,00531B, CASH, 02/27/2023, 10.00,PIECE,"1,080.00",57.6,33.33,24.27,42.1
3,00607B, KORERES,02/27/2023,6.00,PIECE,"1,080.00",34.56,20.0,14.56,42.1
4,00614B, CASH, 02/27/2023,1.00,PIECE,"1,080.00",5.76,3.33,2.43,42.2
5,00736B, CASH, 02/27/2023,4.00,PIECE,"1,080.00",23.04,13.33,9.71,42.1
6,00785B, CASH, 02/27/2023,2.00,PIECE,"1,080.00",11.52,6.67,4.85,42.1
7,00844B, CASH, 02/28/2023, 20.00,PIECE,"1,080.00",115.2,66.66,48.54,42.1
8,00941B, 0792, 02/28/2023, 30.00,PIECE,"1,080.00",172.8,99.99,72.81,42.1
9,01144B, CASH, 02/28/2023, 30.00,PIECE,"1,080.00",172.8,99.99,72.81,42.1
10,90215B, CASH, 02/01/2023, 26.00,PIECE,"1,200.00",166.4,86.66,79.74,47.9
11,90219A, 464,02/01/2023,1.00,PIECE,"1,200.00",6.4,3.33,3.07,48.0
12,90237B, 464,02/01/2023, -1.00,PIECE,"1,200.00",-6.4,-3.33,-3.07,48.0
13,90261A, 0527, 02/01/2023, 10.00,PIECE,"1,200.00",64.0,33.33,30.67,47.9
14,90284A, 1121, 02/01/2023,4.00,PIECE,"1,200.00",25.6,13.33,12.27,47.9
15,90301A, CASH, 02/01/2023,1.00,PIECE,"1,200.00",6.4,3.33,3.07,48.0
16,90461B, 0527, 02/01/2023, 10.00,PIECE,"1,200.00",64.0,33.33,30.67,47.9
17,90463B, 0782, 02/01/2023, 15.00,PIECE,"1,200.00",96.0,50.0,46.0,47.9
18,90493B, MACANTA,02/01/2023,6.00,PIECE,"1,200.00",38.4,20.0,18.4,47.9
19,90519B, 191,02/01/2023,-10.00,PIECE,"1,200.00",-64.0,-33.33,-30.67,47.9
20,90520B, 61, 02/01/2023, 10.00,PIECE,"1,200.00",64.0,33.33,30.67,47.9
21,90913B, 0745, 02/02/2023, 16.00,PIECE,"1,200.00",102.4,53.33,49.07,47.9
22,91051B, CASH, 02/02/2023,1.00,PIECE,"1,200.00",6.4,3.33,3.07,48.0
23,91271B, CASH, 02/03/2023,1.00,PIECE,"1,200.00",6.4,3.33,3.07,48.0
24,91641B, CASH, 02/04/2023,6.00,PIECE,"1,200.00",38.4,20.0,18.4,47.9
25,91874A, CASH, 02/04/2023,1.00,PIECE,"1,200.00",6.4,3.33,3.07,48.0
26,92053B, MACANTA,02/06/2023,2.00,PIECE,"1,200.00",12.8,6.67,6.13,47.9
27,92078B, ROYLE,02/06/2023,1.00,PIECE,"1,200.00",6.4,3.33,3.07,48.0
28,92242B, CASH, 02/06/2023, 10.00,PIECE,"1,200.00",64.0,33.33,30.67,47.9
29,92532B, 48, 02/07/2023,1.00,PIECE,"1,200.00",6.4,3.33,3.07,48.0
30,93079A, CASH, 02/08/2023,6.00,PIECE,"1,200.00",38.4,20.0,18.4,47.9
31,93091A, 1363, 02/08/2023, 40.00,PIECE,"1,200.00",256.0,133.32,122.68,47.9
32,93110B, 375,02/08/2023,1.00,PIECE,"1,200.00",6.4,3.33,3.07,48.0
33,93124A, 0948, 02/08/2023,8.00,PIECE,"1,200.00",51.2,26.66,24.54,47.9
34,93127B, 0898, 02/08/2023, 15.00,PIECE,"1,200.00",96.0,50.0,46.0,47.9
35,93187B, CASH, 02/08/2023,3.00,PIECE,"1,200.00",19.2,10.0,9.2,47.9
36,93239A, 97, 02/08/2023,8.00,PIECE,"1,200.00",51.2,26.66,24.54,47.9
37,93244B, CASH, 02/08/2023,1.00,PIECE,"1,200.00",6.4,3.33,3.07,48.0
38,93342A, 152,02/08/2023,1.00,PIECE,"1,200.00",6.4,3.33,3.07,48.0
39,93351B, 724,02/08/2023, 20.00,PIECE,"1,200.00",128.0,66.66,61.34,47.9
40,93651B, 0782, 02/09/2023,4.00,PIECE,"1,200.00",25.6,13.33,12.27,47.9
41,93723B, 364,02/09/2023,8.00,PIECE,"1,200.00",51.2,26.66,24.54,47.9
42,93865A, 614,02/09/2023,1.00,PIECE,"1,200.00",6.4,3.33,3.07,48.0
43,94158A, 724,02/10/2023, 20.00,PIECE,"1,200.00",128.0,66.66,61.34,47.9
44,94507B, CASH, 02/10/2023, 12.00,PIECE,"1,200.00",76.8,40.0,36.8,47.9
45,94934B, CASH, 02/13/2023,2.00,PIECE,"1,200.00",12.8,6.67,6.13,47.9
46,94984A, 48, 02/13/2023, 10.00,PIECE,"1,200.00",64.0,33.33,30.67,47.9
