90891A,06,3290FJ, 3290FJ SHOE BASE, 40,1.440, 57.60,38.40,19.20,33.3,"VIS
"
93890B,66,LUS26Z, Z MAX 2X6 SINGLE JOIST H,1,1.490,1.49, 0.83, 0.66,44.3,"CHA-CHADWI
"
94250B,41,3290FJ, 3290FJ SHOE BASE, 16,1.440, 23.04,15.36, 7.68,33.3,"CAS
"
94794A,41,FB24Z,ZMAX FENCE BRACKET,8,1.390, 11.12, 1.52, 9.60,86.3,"VIS
"
95773B,23,3290FJ, 3290FJ SHOE BASE, 24,1.440, 34.56,23.04,11.52,33.3,"DBC
"
95789B,77,AC4Z, SIMPSON POST CAP 4X4 DRE,4,9.990, 39.96,13.32,26.64,66.7,"VIS
"
97388A,41,H2.5AZ, ZMAX HURRICANE TIE, 32,1.190, 38.08,17.92,20.16,52.9,"DBC
"
97422B,66,LUS26Z, Z MAX 2X6 SINGLE JOIST H, 50,1.490, 74.50,41.50,33.00,44.3,"DBC
"
98238B,23,H2.5AZ, ZMAX HURRICANE TIE, 15,1.190, 17.85, 8.40, 9.45,52.9,"CHA-0208
"
98328B,23,3290FJ, 3290FJ SHOE BASE, 16,1.440, 23.04,15.36, 7.68,33.3,"CHA-804
"
98819B,23,LUS262Z,Z MAX 2X6 DOUBLE JOIST H,2,2.490,4.98, 2.44, 2.54,51.0,"DBC
"
99592A,41,H2.5AZ, ZMAX HURRICANE TIE, 12,1.071, 12.85, 6.72, 6.13,47.7,"MAS
"
99888B,77,LUS26Z, Z MAX 2X6 SINGLE JOIST H,-49, -1.490,-73.01, -40.67, -32.34, -44.3,"DBC
"
"────────────────────────────────────────────────────────────────────
"
Sub-Total :,266.06, 144.14, 121.92,"45.8
"
"
"
DEPT:," 
"
F6293A,Back Office Inv,67740M-11/28/22 crash, 1,130.940,130.94, 0.00, 130.94, 100.0,"CHA-9466847
"
F6294A,Back Office Inv,67743M-11/28/22 crash, 1,160.030,160.03, 0.00, 160.03, 100.0,"CHA-9466847
"
"────────────────────────────────────────────────────────────────────
"
Sub-Total :,290.97, 0.00, 290.97," 100.0
"
"
"
DEPT: 0,"GLUES ADHESIVES CAULK
"
00511B,77,1212GYPROC," 1/2"" GYPROC 1/2SHT",1, 10.990, 10.99, 6.00, 4.99,45.4,"CAS
"
00514B,77,SILL8,"7.5""x75' SILL GASKET",1,7.990,7.99, 4.19, 3.80,47.6,"CHA-1371
"
00816B,77,KT3725, 25' TAPE MEASURE,1, 11.990, 11.99, 7.94, 4.05,33.8,"CHA-ZAIN
"
00819B,77,KT3725, 25' TAPE MEASURE,1, 11.990, 11.99, 7.94, 4.05,33.8,"CHA-0413
"
00841B,06,203023, INVERTED MARKING PAINT G,1, 11.990, 11.99, 6.07, 5.92,49.4,"CHA-1243
"
