,Invoice_#,Clerk,SKU,Name,Quantity,Net_Price,Total_Sale,COGS,Profit,Margin,Tender
0,90891A,06,3290FJ, 3290FJ SHOE BASE,40.0,1.44,57.6,38.4,19.2,33.3,Visa
1,93890B,66,LUS26Z, Z MAX 2X6 SINGLE JOIST H,1.0,1.49,1.49,0.83,0.66,44.3,"CHA-CHADWI
"
2,94250B,41,3290FJ, 3290FJ SHOE BASE,16.0,1.44,23.04,15.36,7.68,33.3,Cash
3,94794A,41,FB24Z,ZMAX FENCE BRACKET,8.0,1.39,11.12,1.52,9.6,86.3,Visa
4,95773B,23,3290FJ, 3290FJ SHOE BASE,24.0,1.44,34.56,23.04,11.52,33.3,Debit
5,95789B,77,AC4Z, SIMPSON POST CAP 4X4 DRE,4.0,9.99,39.96,13.32,26.64,66.7,Visa
6,97388A,41,H2.5AZ, ZMAX HURRICANE TIE,32.0,1.19,38.08,17.92,20.16,52.9,Debit
7,97422B,66,LUS26Z, Z MAX 2X6 SINGLE JOIST H,50.0,1.49,74.5,41.5,33.0,44.3,Debit
8,98238B,23,H2.5AZ, ZMAX HURRICANE TIE,15.0,1.19,17.85,8.4,9.45,52.9,"CHA-0208
"
9,98328B,23,3290FJ, 3290FJ SHOE BASE,16.0,1.44,23.04,15.36,7.68,33.3,"CHA-804
"
10,98819B,23,LUS262Z,Z MAX 2X6 DOUBLE JOIST H,2.0,2.49,4.98,2.44,2.54,51.0,Debit
11,99592A,41,H2.5AZ, ZMAX HURRICANE TIE,12.0,1.071,12.85,6.72,6.13,47.7,Mastercard
12,99888B,77,LUS26Z, Z MAX 2X6 SINGLE JOIST H,-49.0,-1.49,-73.01,-40.67,-32.34, -44.3,Debit
21,00511B,77,1212GYPROC," 1/2"" GYPROC 1/2SHT",1.0,10.99,10.99,6.0,4.99,45.4,Cash
22,00514B,77,SILL8,"7.5""x75' SILL GASKET",1.0,7.99,7.99,4.19,3.8,47.6,"CHA-1371
"
23,00816B,77,KT3725, 25' TAPE MEASURE,1.0,11.99,11.99,7.94,4.05,33.8,"CHA-ZAIN
"
24,00819B,77,KT3725, 25' TAPE MEASURE,1.0,11.99,11.99,7.94,4.05,33.8,"CHA-0413
"
25,00841B,06,203023, INVERTED MARKING PAINT G,1.0,11.99,11.99,6.07,5.92,49.4,"CHA-1243
"
26,00890B,06,KR641,WOOSTER 5MM PRO/DOO Z SL,1.0,6.99,6.99,3.17,3.82,54.6,Visa
27,90292B,06,1601838,INVERTED MARKING PAINT C,2.0,13.99,27.98,11.94,16.04,57.3,"CHA-492
"
28,90859A,23,1661838,INVERTED MARKING PAINT P,1.0,13.99,13.99,5.97,8.02,57.3,"CHA-NATURAL
"
29,90973B,23,203029, INVERTED MARKING PAINT R,1.0,13.99,13.99,5.97,8.02,57.3,"CHA-0782
"
30,90973B,23,203023, INVERTED MARKING PAINT G,1.0,13.99,13.99,4.75,9.24,66.0,"CHA-0782
"
31,91245B,06,GRKR4,GRK R4 WOOD SCREW BULK,3.92,49.99,195.96,117.6,78.36,40.0,"CHA-0184
"
32,91353B,23,203029, INVERTED MARKING PAINT R,1.0,13.99,13.99,5.97,8.02,57.3,"CHA-418
"
33,91353B,23,1661838,INVERTED MARKING PAINT P,1.0,13.99,13.99,5.97,8.02,57.3,"CHA-418
"
34,91354B,06,017M, KNOCK OUT GLOVES MEDIUM,1.0,15.99,15.99,8.75,7.24,45.3,Cash
35,91523A,41,GTGREY, WINDOW GLAZING TAPE 25',2.0,8.99,17.98,8.88,9.1,50.6,Cash
36,91711B,82,120500, GREEN GLUE SEALANT,2.0,19.99,39.98,25.6,14.38,36.0,"CHA-0782
"
37,92168B,23,SILL8,"7.5""x75' SILL GASKET",1.0,7.99,7.99,4.19,3.8,47.6,"CHA-492
"
38,92212B,23,BW60," TRIM JOLLY 1/4"" PVC WHIT",1.0,4.99,4.99,3.09,1.9,38.1,Debit
39,92395B,23,4473302,END CUT WOOD PRESERVATIV,1.0,24.99,24.99,16.55,8.44,33.8,Cash
40,92825B,06,2COMFORT," 2"" COMFORTBOARD R8 24X48",-4.0,-75.95,-303.8,-260.0,-43.8, -14.4,"CHA-492
"
41,93139B,23,1661838,INVERTED MARKING PAINT P,1.0,13.99,13.99,5.97,8.02,57.3,Visa
42,93319A,23,BF-STCR50191/4," 7/16""x1/4"" 19ga STAPLES",1.0,6.291,6.29,3.03,3.26,51.8,Mastercard
43,93538A,41,ZC62244,MULTI-SCAN i520-1 STEP,1.0,87.99,87.99,56.41,31.58,35.9,"CHA-0790
"
44,93631B,06,203029, INVERTED MARKING PAINT R,1.0,13.99,13.99,5.97,8.02,57.3,"CHA-138
"
45,93809B,41,9128-15,"BARON SASH BRUSH 1.5""",1.0,5.99,5.99,2.07,3.92,65.4,Debit
46,93828B,06,2680-20,"M18 4-1/2"" CORDLESS GRIN",1.0,119.0,119.0,0.0,119.0, 100.0,Mastercard
47,94085B,23,98067,SD/SS-IND IMPACT TOR PH,6.0,7.99,47.94,24.78,23.16,48.3,"CHA-492
"
48,94231B,23,SILL8,"7.5""x75' SILL GASKET",1.0,7.99,7.99,4.19,3.8,47.6,"CHA-492
"
49,94429B,06,423035-8, CORK PLATE,1.0,8.99,8.99,4.69,4.3,47.8,"CHA-0665
"
50,94429B,06,602054, SHOPVAC ATTACHMENT ROUND,1.0,11.99,11.99,6.06,5.93,49.5,"CHA-0665
"
51,94451B,23,1661838,INVERTED MARKING PAINT P,1.0,13.99,13.99,5.97,8.02,57.3,"CHA-0782
"
52,94826A,41,0195030,"24"" PLASTIC SQUARE CLOSU",-3.0,-16.95,-50.85,-27.09,-23.76, -46.7,"CHA-KAPLAN
"
53,95002B,66,7795099,"1-1/4""X3' SEAM BINDER AL",1.0,12.99,12.99,6.54,6.45,49.7,"CHA-HUYGHE
"
54,95092B,66,1601838,INVERTED MARKING PAINT C,1.0,13.99,13.99,5.97,8.02,57.3,Cash
55,95673A,23,GHSSGGUNEC600,SAUSAGE CAULKING GUN 600,1.0,39.99,39.99,23.01,16.98,42.5,"CHA-0641
"
56,95819B,23,FPBM44E,E-Z MENDER 4X4,2.0,27.99,55.98,23.96,32.02,57.2,Debit
57,95967B,23,SILL8,"7.5""x75' SILL GASKET",1.0,7.99,7.99,4.19,3.8,47.6,"CHA-61
"
58,95996B,06,1661838,INVERTED MARKING PAINT P,2.0,13.99,27.98,11.94,16.04,57.3,Debit
59,96523B,06,602054, SHOPVAC ATTACHMENT ROUND,2.0,11.99,23.98,12.12,11.86,49.5,"CHA-565
"
60,96528A,06,9128-2," BARON SASH BRUSH 2""",2.0,6.99,13.98,6.62,7.36,52.6,"CHA-579
"
61,96562B,41,GTGREY, WINDOW GLAZING TAPE 25',1.0,8.091,8.09,4.44,3.65,45.1,Cash
62,96995B,06,4473302,END CUT WOOD PRESERVATIV,1.0,24.99,24.99,16.55,8.44,33.8,Visa
63,97387A,66,793011Q,ADVANCE WB ALKYD SEMI,1.0,40.99,40.99,18.48,22.51,54.9,"CHA-992
"
64,97642B,82,4430369,VULCAN DEEP IMPACT SOCKE,1.0,9.99,9.99,4.24,5.75,57.6,Debit
65,97775B,66,01-KV208WH5,"20"" BRACKET WHITE REINFO",4.0,18.99,75.96,34.52,41.44,54.6,Debit
66,97961B,23,PSS2-180, TAJIMA SNAP-LINE INK RED,1.0,16.99,16.99,9.14,7.85,46.2,Debit
67,98056B,06,1601838,INVERTED MARKING PAINT C,1.0,13.99,13.99,5.97,8.02,57.3,"CHA-0728
"
68,98871B,41,KR641,WOOSTER 5MM PRO/DOO Z SL,1.0,6.99,6.99,3.17,3.82,54.6,Visa
69,99015B,23,VP100,"BLUESKIN VP100 48""X100'",1.0,399.0,399.0,289.91,109.09,27.3,"CHA-388
"
70,99136A,41,36406,12 STEP BIT 3/16-7/8,1.0,35.991,35.99,20.15,15.84,44.0,Debit
71,99460B,82,1881-63N," NOUR 2.5"" TRADITION BRUS",1.0,13.491,13.49,0.0,13.49, 100.0,Debit
72,99746B,23,1212GYPROC," 1/2"" GYPROC 1/2SHT",1.0,10.99,10.99,6.0,4.99,45.4,"CHA-0184
"
76,00096B,77,HB021769, POLY PRO ROLLER 10MM - 3,1.0,4.99,4.99,1.75,3.24,64.9,Mastercard
77,00487B,23,00382,9'X12' 1 MIL PLASTIC DRO,1.0,4.99,4.99,1.39,3.6,72.1,"CHA-0090
"
78,00508B,77,HM005306," 6"" FOAM ROLLER REFILLS 2",1.0,5.29,5.29,2.64,2.65,50.1,Mastercard
79,00731B,23,00387,9'X12' 2 MIL PLASTIC DRO,2.0,5.841,11.68,5.66,6.02,51.5,Visa
80,00766B,77,9129-15,"MARQUIS BRUSH 1-1/2""",1.0,6.99,6.99,3.54,3.45,49.4,Mastercard
81,00807B,77,WARNING,READ LABEL:______,1.0,0.0,0.0,0.0,0.0, 0.0,Mastercard
