 07/14/2022, 09403B, 3290FJ,3290FJ SHOE BASE,16.000,LF," 23.04
"
 07/21/2022, 12672A, 3290FJ,3290FJ SHOE BASE,24.000,LF," 34.56
"
 07/11/2022, 07944B, LSS, LAG STAINLESS STEEL,0.140,EACH,"7.00
"
 07/06/2022, 05539B, LUS262Z, Z MAX 2X6 DOUBLE JOIST HANGER,4.000,EACH,"9.96
"
 07/15/2022, 10117B, LUS262Z, Z MAX 2X6 DOUBLE JOIST HANGER,3.000,EACH,"7.47
"
 07/02/2022, 04373A, LUS26Z,Z MAX 2X6 SINGLE JOIST HANGER,3.000,EACH,"4.47
"
 07/05/2022, 05431B, LUS26Z,Z MAX 2X6 SINGLE JOIST HANGER,3.000- EACH,"4.47-
"
 07/06/2022, 05539B, LUS26Z,Z MAX 2X6 SINGLE JOIST HANGER,2.000,EACH,"2.98
"
 07/25/2022, 14344B, LUS26Z,Z MAX 2X6 SINGLE JOIST HANGER, 24.000,EACH," 35.76
"
 0, GLUES ADHESIVES CAULK, T o t a l," 866.00
"
 07/15/2022, 10288B, 1212GYPROC,"1/2"" GYPROC 1/2SHT", 1.000,EACH," 10.99
"
 07/16/2022, 10750A, 1212GYPROC,"1/2"" GYPROC 1/2SHT", 1.000,EACH," 10.99
"
 07/18/2022, 10840B, 1212GYPROC,"1/2"" GYPROC 1/2SHT", 1.000,EACH," 10.99
"
 07/21/2022, 12657B, 1212GYPROC,"1/2"" GYPROC 1/2SHT", 1.000,EACH," 10.99
"
 07/22/2022, 13016B, 1212GYPROC,"1/2"" GYPROC 1/2SHT", 1.000,EACH," 10.99
"
 07/28/2022, 15584B, 1212GYPROC,"1/2"" GYPROC 1/2SHT", 1.000,EACH," 10.99
"
 07/06/2022, 05839A, 1224X1G, PORCH&FLOOR LATEX LOW SHEEN,1.000,EACH," 76.49
"
 07/12/2022, 08575B, 1601838, INVERTED MARKING PAINT CLEAR, 1.000,EACH," 11.99
"
 07/25/2022, 14424B, 17-0491, DECKOTE CHARCOAL GALLON,1.000,EACH," 80.99
"
 07/25/2022, 14069A, 2173256, REPLACEMENT HIT-1 NOZZLE, 1.000,EACH,"9.99
"
 07/19/2022, 11369B, 36406, 12 STEP BIT 3/16-7/8, 1.000,EACH," 35.99
"
